Date,Open,High,Low,Close,Volume
25-08-17,159.65,160.56,159.27,159.86,25480063
24-08-17,160.43,160.74,158.55,159.27,19818918
23-08-17,159.07,160.47,158.88,159.98,19399081
22-08-17,158.23,160.00,158.02,159.78,21604585
21-08-17,157.50,157.89,155.11,157.21,26368528
18-08-17,157.86,159.50,156.72,157.50,27428069
17-08-17,160.52,160.71,157.84,157.86,27940565
16-08-17,161.94,162.51,160.15,160.95,27671612
15-08-17,160.66,162.20,160.14,161.60,29465487
14-08-17,159.32,160.21,158.75,159.85,22122734
11-08-17,156.60,158.57,156.07,157.48,26257096
10-08-17,159.90,160.00,154.63,155.32,40804273
9-08-17,159.26,161.27,159.11,161.06,26131530
8-08-17,158.60,161.83,158.27,160.08,36205896
7-08-17,157.06,158.92,156.67,158.81,21870321
4-08-17,156.07,157.40,155.69,156.39,20559852
3-08-17,157.05,157.21,155.02,155.57,27097296
2-08-17,159.28,159.75,156.16,157.14,69936800
1-08-17,149.10,150.22,148.41,150.05,35368645
31-07-17,149.90,150.33,148.13,148.73,19845920
28-07-17,149.89,150.23,149.19,149.50,17213653
27-07-17,153.75,153.99,147.30,150.56,32476337
26-07-17,153.35,153.93,153.06,153.46,15780951
25-07-17,151.80,153.84,151.80,152.74,18853932
24-07-17,150.58,152.44,149.90,152.09,21493160
21-07-17,149.99,150.44,148.88,150.27,26252630
20-07-17,151.50,151.74,150.19,150.34,17243748
19-07-17,150.48,151.42,149.95,151.02,20922969
18-07-17,149.20,150.13,148.67,150.08,17868792
17-07-17,148.82,150.90,148.57,149.56,23793456
14-07-17,147.97,149.33,147.33,149.04,20132061
13-07-17,145.50,148.49,145.44,147.77,25199373
12-07-17,145.87,146.18,144.82,145.74,24884478
11-07-17,144.73,145.85,144.38,145.53,19781836
10-07-17,144.11,145.95,143.37,145.06,21090636
7-07-17,142.90,144.75,142.90,144.18,19201712
6-07-17,143.02,143.50,142.41,142.73,24128782
5-07-17,143.69,144.79,142.72,144.09,21569557
3-07-17,144.88,145.30,143.10,143.50,14277848
30-06-17,144.45,144.96,143.78,144.02,23024107
29-06-17,144.71,145.13,142.28,143.68,31499368
28-06-17,144.49,146.11,143.16,145.83,22082432
27-06-17,145.01,146.16,143.62,143.73,24761891
26-06-17,147.17,148.28,145.38,145.82,25692361
23-06-17,145.13,147.16,145.11,146.28,35439389
22-06-17,145.77,146.70,145.12,145.63,19106294
21-06-17,145.52,146.07,144.61,145.87,21265751
20-06-17,146.87,146.87,144.94,145.01,24900073
19-06-17,143.66,146.74,143.66,146.34,32541404
16-06-17,143.78,144.50,142.20,142.27,50361093
15-06-17,143.32,144.48,142.21,144.29,32165373
14-06-17,147.50,147.50,143.84,145.16,31531232
13-06-17,147.16,147.45,145.15,146.59,34165445
12-06-17,145.74,146.09,142.51,145.42,72307330
9-06-17,155.19,155.19,146.02,148.98,64882657
8-06-17,155.25,155.54,154.40,154.99,21250798
7-06-17,155.02,155.98,154.48,155.37,21069647
6-06-17,153.90,155.81,153.78,154.45,26624926
5-06-17,154.34,154.45,153.46,153.93,25331662
2-06-17,153.58,155.45,152.89,155.45,27770715
1-06-17,153.17,153.33,152.22,153.18,16404088
31-05-17,153.97,154.17,152.38,152.76,24451164
30-05-17,153.42,154.43,153.33,153.67,20126851
26-05-17,154.00,154.24,153.31,153.61,21927637
25-05-17,153.73,154.35,153.03,153.87,19235598
